# started on Tue Feb 25 11:18:19 2020


 Performance counter stats for 'system wide':

CPU64             31,492,249      cycles                    #    0.030 GHz                    
CPU65                 49,265      cycles                    #    0.000 GHz                    
CPU66            626,187,718      cycles                    #    0.594 GHz                    
CPU67            689,983,814      cycles                    #    0.654 GHz                    
CPU68            625,807,834      cycles                    #    0.593 GHz                    
CPU69            643,853,907      cycles                    #    0.610 GHz                    
CPU70            684,097,797      cycles                    #    0.649 GHz                    
CPU71            652,219,789      cycles                    #    0.618 GHz                    
CPU72            608,837,825      cycles                    #    0.577 GHz                    
CPU73            647,269,066      cycles                    #    0.614 GHz                    
CPU74                 49,248      cycles                    #    0.000 GHz                    
CPU75                 49,663      cycles                    #    0.000 GHz                    
CPU76                 49,715      cycles                    #    0.000 GHz                    
CPU77             29,151,328      cycles                    #    0.028 GHz                    
CPU78                451,372      cycles                    #    0.000 GHz                    
CPU79                 49,329      cycles                    #    0.000 GHz                    
CPU80                 50,152      cycles                    #    0.000 GHz                    
CPU81                 49,666      cycles                    #    0.000 GHz                    
CPU82                 49,221      cycles                    #    0.000 GHz                    
CPU83                 49,524      cycles                    #    0.000 GHz                    
CPU84                 49,477      cycles                    #    0.000 GHz                    
CPU85                 50,304      cycles                    #    0.000 GHz                    
CPU86                 49,370      cycles                    #    0.000 GHz                    
CPU87                 49,152      cycles                    #    0.000 GHz                    
CPU88                 49,331      cycles                    #    0.000 GHz                    
CPU89                 49,796      cycles                    #    0.000 GHz                    
CPU90                 49,277      cycles                    #    0.000 GHz                    
CPU91                 49,558      cycles                    #    0.000 GHz                    
CPU92                 49,657      cycles                    #    0.000 GHz                    
CPU93                 49,240      cycles                    #    0.000 GHz                    
CPU94                 48,608      cycles                    #    0.000 GHz                    
CPU95                 48,684      cycles                    #    0.000 GHz                    
CPU96             29,154,771      cycles                    #    0.028 GHz                    
CPU97                897,331      cycles                    #    0.001 GHz                    
CPU98            604,558,203      cycles                    #    0.573 GHz                    
CPU99            655,834,896      cycles                    #    0.622 GHz                    
CPU100           677,987,346      cycles                    #    0.643 GHz                    
CPU101           662,656,126      cycles                    #    0.628 GHz                    
CPU102           627,159,812      cycles                    #    0.595 GHz                    
CPU103           661,636,380      cycles                    #    0.627 GHz                    
CPU104           591,509,921      cycles                    #    0.561 GHz                    
CPU105           627,547,947      cycles                    #    0.595 GHz                    
CPU106            34,378,444      cycles                    #    0.033 GHz                    
CPU107                51,382      cycles                    #    0.000 GHz                    
CPU108                50,434      cycles                    #    0.000 GHz                    
CPU109                49,887      cycles                    #    0.000 GHz                    
CPU110                50,581      cycles                    #    0.000 GHz                    
CPU111                50,320      cycles                    #    0.000 GHz                    
CPU112                50,115      cycles                    #    0.000 GHz                    
CPU113                49,998      cycles                    #    0.000 GHz                    
CPU114                50,142      cycles                    #    0.000 GHz                    
CPU115                49,824      cycles                    #    0.000 GHz                    
CPU116                50,669      cycles                    #    0.000 GHz                    
CPU117                49,897      cycles                    #    0.000 GHz                    
CPU118                50,204      cycles                    #    0.000 GHz                    
CPU119                50,966      cycles                    #    0.000 GHz                    
CPU120                52,806      cycles                    #    0.000 GHz                    
CPU121                50,816      cycles                    #    0.000 GHz                    
CPU122                50,128      cycles                    #    0.000 GHz                    
CPU123                50,288      cycles                    #    0.000 GHz                    
CPU124                50,327      cycles                    #    0.000 GHz                    
CPU125               434,163      cycles                    #    0.000 GHz                    
CPU126                49,017      cycles                    #    0.000 GHz                    
CPU127                49,177      cycles                    #    0.000 GHz                    

       1.057523930 seconds time elapsed

